0	1	2
Lachnospiraceae_Incertae_Sedis_Otu000217	Lachnospiraceae_Incertae_Sedis_Otu000384	1.0
Lachnospiraceae_Blautia_Otu000590	Lachnospiraceae_Incertae_Sedis_Otu000591	1.0
Ruminococcaceae_Incertae_Sedis_Otu000236	Ruminococcaceae_unclassified_Otu000156	1.0
Lachnospiraceae_Incertae_Sedis_Otu000217	Lachnospiraceae_Incertae_Sedis_Otu000639	1.0
Lachnospiraceae_Incertae_Sedis_Otu000217	Enterobacteriaceae_Cronobacter_Otu001258	1.0
Lachnospiraceae_Blautia_Otu000363	Ruminococcaceae_Incertae_Sedis_Otu000236	1.0
Coriobacteriaceae_Eggerthella_Otu000570	Lachnospiraceae_Blautia_Otu000828	1.0
Coriobacteriaceae_Eggerthella_Otu000570	Lachnospiraceae_Blautia_Otu000502	1.0
Bacteroidaceae_Bacteroides_Otu000362	Ruminococcaceae_Flavonifractor_Otu001013	1.0
Rikenellaceae_Alistipes_Otu001613	Rikenellaceae_Alistipes_Otu002369	1.0
Lachnospiraceae_Incertae_Sedis_Otu000217	Shewanellaceae_Shewanella_Otu001055	1.0
Ruminococcaceae_Faecalibacterium_Otu000257	Veillonellaceae_unclassified_Otu000260	1.0
Lachnospiraceae_Blautia_Otu000590	Lachnospiraceae_Lachnospira_Otu000204	1.0
Lachnospiraceae_unclassified_Otu000207	Ruminococcaceae_Oscillospira_Otu000676	1.0
Ruminococcaceae_Faecalibacterium_Otu000134	Ruminococcaceae_Subdoligranulum_Otu000429	1.0
Lachnospiraceae_unclassified_Otu000207	Ruminococcaceae_Oscillospira_Otu000521	1.0
Bacteroidaceae_Bacteroides_Otu001598	Ruminococcaceae_unclassified_Otu000717	1.0
Lachnospiraceae_Incertae_Sedis_Otu000591	Lachnospiraceae_Lachnospira_Otu000204	1.0
Lachnospiraceae_Incertae_Sedis_Otu000548	Peptostreptococcaceae_Incertae_Sedis_Otu000409	1.0
Lachnospiraceae_Blautia_Otu000828	Burkholderiaceae_Burkholderia_Otu000738	1.0
Streptococcaceae_Streptococcus_Otu001151	Lachnospiraceae_Incertae_Sedis_Otu000347	1.0
Streptococcaceae_Streptococcus_Otu001151	Lachnospiraceae_Incertae_Sedis_Otu000344	1.0
Lachnospiraceae_unclassified_Otu000207	Ruminococcaceae_Subdoligranulum_Otu000978	1.0
Rikenellaceae_Alistipes_Otu001613	Streptococcaceae_Streptococcus_Otu001151	1.0
Bacteroidaceae_Bacteroides_Otu000033	Ruminococcaceae_Faecalibacterium_Otu000257	1.0
Bacteroidaceae_Bacteroides_Otu000033	Peptostreptococcaceae_Incertae_Sedis_Otu001216	1.0
Lachnospiraceae_Incertae_Sedis_Otu000347	Erysipelotrichaceae_Incertae_Sedis_Otu000479	1.0
Lachnospiraceae_Incertae_Sedis_Otu000384	Peptostreptococcaceae_Incertae_Sedis_Otu000409	1.0
Coriobacteriaceae_Collinsella_Otu001365	Ruminococcaceae_Subdoligranulum_Otu000978	1.0
Defluviitaleaceae_unclassified_Otu000389	Ruminococcaceae_Incertae_Sedis_Otu000236	1.0
Ruminococcaceae_Flavonifractor_Otu001013	Ruminococcaceae_unclassified_Otu000717	1.0
Rikenellaceae_Alistipes_Otu002369	Ruminococcaceae_unclassified_Otu000647	1.0
Peptostreptococcaceae_Incertae_Sedis_Otu001216	Ruminococcaceae_Faecalibacterium_Otu000342	1.0
Rikenellaceae_Alistipes_Otu002369	Erysipelotrichaceae_Incertae_Sedis_Otu000479	1.0
Lachnospiraceae_Coprococcus_Otu000097	Peptostreptococcaceae_Incertae_Sedis_Otu000626	1.0
Lachnospiraceae_Blautia_Otu000590	Desulfovibrionaceae_Desulfovibrio_Otu000088	1.0
Lachnospiraceae_Blautia_Otu001036	Lachnospiraceae_Incertae_Sedis_Otu000548	1.0
Peptostreptococcaceae_Incertae_Sedis_Otu001216	Ruminococcaceae_Faecalibacterium_Otu000257	1.0
Lachnospiraceae_Coprococcus_Otu000097	Ruminococcaceae_Faecalibacterium_Otu000219	1.0
Porphyromonadaceae_Parabacteroides_Otu000153	Halomonadaceae_Halomonas_Otu000370	1.0
Lachnospiraceae_Blautia_Otu001036	Lachnospiraceae_Incertae_Sedis_Otu000639	1.0
Christensenellaceae_unclassified_Otu000951	Ruminococcaceae_Faecalibacterium_Otu000219	1.0
Coriobacteriaceae_Eggerthella_Otu000570	Lachnospiraceae_Incertae_Sedis_Otu000282	1.0
Lachnospiraceae_Incertae_Sedis_Otu000704	Burkholderiaceae_Burkholderia_Otu000738	1.0
Lachnospiraceae_Blautia_Otu000502	Lachnospiraceae_Incertae_Sedis_Otu000282	1.0
Bacteroidaceae_Bacteroides_Otu001598	Ruminococcaceae_Flavonifractor_Otu001013	1.0
Lachnospiraceae_Blautia_Otu001036	Lachnospiraceae_Incertae_Sedis_Otu000384	1.0
Lachnospiraceae_unclassified_Otu000207	Ruminococcaceae_Flavonifractor_Otu000446	1.0
Peptostreptococcaceae_Incertae_Sedis_Otu000626	Ruminococcaceae_Faecalibacterium_Otu000219	1.0
Defluviitaleaceae_unclassified_Otu000389	Ruminococcaceae_unclassified_Otu000156	1.0
Lachnospiraceae_Incertae_Sedis_Otu000384	Shewanellaceae_Shewanella_Otu001055	1.0
Lachnospiraceae_Incertae_Sedis_Otu000792	Ruminococcaceae_Flavonifractor_Otu001013	1.0
Lachnospiraceae_Incertae_Sedis_Otu000384	Enterobacteriaceae_Cronobacter_Otu001258	1.0
Bifidobacteriaceae_Bifidobacterium_Otu000794	Rikenellaceae_Alistipes_Otu002369	1.0
Ruminococcaceae_Faecalibacterium_Otu000270	Ruminococcaceae_Subdoligranulum_Otu000429	1.0
Coriobacteriaceae_Collinsella_Otu001365	Lachnospiraceae_unclassified_Otu000207	1.0
Lachnospiraceae_Incertae_Sedis_Otu000282	Ruminococcaceae_Incertae_Sedis_Otu000935	1.0
Bifidobacteriaceae_Bifidobacterium_Otu000794	Streptococcaceae_Streptococcus_Otu001151	1.0
Lachnospiraceae_Blautia_Otu001036	Lachnospiraceae_Incertae_Sedis_Otu000217	1.0
Lachnospiraceae_Incertae_Sedis_Otu000217	Lachnospiraceae_Incertae_Sedis_Otu000548	1.0
Ruminococcaceae_Faecalibacterium_Otu000342	Veillonellaceae_unclassified_Otu000260	1.0
Ruminococcaceae_unclassified_Otu000647	Erysipelotrichaceae_Incertae_Sedis_Otu000479	1.0
Coriobacteriaceae_Collinsella_Otu001365	Ruminococcaceae_Flavonifractor_Otu000446	1.0
Bifidobacteriaceae_Bifidobacterium_Otu000794	Lachnospiraceae_Incertae_Sedis_Otu000347	1.0
Bifidobacteriaceae_Bifidobacterium_Otu000794	Lachnospiraceae_Incertae_Sedis_Otu000344	1.0
Lachnospiraceae_Incertae_Sedis_Otu000792	Ruminococcaceae_unclassified_Otu000717	1.0
Coriobacteriaceae_Collinsella_Otu001365	Ruminococcaceae_Oscillospira_Otu000521	1.0
Coriobacteriaceae_Collinsella_Otu001365	Ruminococcaceae_Oscillospira_Otu000676	1.0
Lachnospiraceae_Blautia_Otu000828	Ruminococcaceae_Incertae_Sedis_Otu000935	1.0
Lachnospiraceae_Blautia_Otu000502	Ruminococcaceae_Incertae_Sedis_Otu000935	1.0
Lachnospiraceae_Blautia_Otu000502	Lachnospiraceae_Blautia_Otu000828	1.0
Bifidobacteriaceae_Bifidobacterium_Otu000794	Rikenellaceae_Alistipes_Otu001613	1.0
Lachnospiraceae_Incertae_Sedis_Otu000282	Burkholderiaceae_Burkholderia_Otu000738	1.0
Bacteroidaceae_Bacteroides_Otu000362	Lachnospiraceae_Incertae_Sedis_Otu000792	1.0
Peptostreptococcaceae_Incertae_Sedis_Otu000409	Enterobacteriaceae_Cronobacter_Otu001258	1.0
Bifidobacteriaceae_Bifidobacterium_Otu000794	Erysipelotrichaceae_Incertae_Sedis_Otu000479	1.0
Lachnospiraceae_Incertae_Sedis_Otu000282	Lachnospiraceae_Incertae_Sedis_Otu000629	1.0
Lachnospiraceae_Incertae_Sedis_Otu000282	Lachnospiraceae_Incertae_Sedis_Otu000704	1.0
Bacteroidaceae_Bacteroides_Otu000173	Lachnospiraceae_Lachnospira_Otu000280	1.0
Bifidobacteriaceae_Bifidobacterium_Otu000794	Ruminococcaceae_unclassified_Otu000647	1.0
Lachnospiraceae_Incertae_Sedis_Otu000639	Shewanellaceae_Shewanella_Otu001055	1.0
Ruminococcaceae_Faecalibacterium_Otu000342	Ruminococcaceae_Subdoligranulum_Otu000231	1.0
Lachnospiraceae_Blautia_Otu000828	Lachnospiraceae_Incertae_Sedis_Otu000282	1.0
Bacteroidaceae_Bacteroides_Otu000173	Lachnospiraceae_unclassified_Otu001062	1.0
Peptostreptococcaceae_Incertae_Sedis_Otu000409	Shewanellaceae_Shewanella_Otu001055	1.0
Bacteroidaceae_Bacteroides_Otu000173	Ruminococcaceae_Faecalibacterium_Otu000134	1.0
Lachnospiraceae_Incertae_Sedis_Otu000639	Enterobacteriaceae_Cronobacter_Otu001258	1.0
Bacteroidaceae_Bacteroides_Otu000173	Ruminococcaceae_Faecalibacterium_Otu000270	1.0
Lachnospiraceae_Incertae_Sedis_Otu000344	Erysipelotrichaceae_Incertae_Sedis_Otu000479	1.0
Lachnospiraceae_Incertae_Sedis_Otu000548	Lachnospiraceae_Incertae_Sedis_Otu000639	1.0
Lachnospiraceae_Incertae_Sedis_Otu000344	Lachnospiraceae_Incertae_Sedis_Otu000347	1.0
Bacteroidaceae_Bacteroides_Otu000173	Ruminococcaceae_Subdoligranulum_Otu000429	1.0
Lachnospiraceae_Incertae_Sedis_Otu000344	Ruminococcaceae_unclassified_Otu000647	1.0
Coriobacteriaceae_Eggerthella_Otu000570	Lachnospiraceae_Incertae_Sedis_Otu000629	1.0
Christensenellaceae_unclassified_Otu000951	Peptostreptococcaceae_Incertae_Sedis_Otu000626	1.0
Ruminococcaceae_Faecalibacterium_Otu000134	Ruminococcaceae_Faecalibacterium_Otu000270	1.0
Lachnospiraceae_Incertae_Sedis_Otu000629	Lachnospiraceae_Incertae_Sedis_Otu000704	1.0
Lachnospiraceae_Incertae_Sedis_Otu000548	Enterobacteriaceae_Cronobacter_Otu001258	1.0
Lachnospiraceae_Blautia_Otu000363	Ruminococcaceae_unclassified_Otu000156	1.0
Bacteroidaceae_Bacteroides_Otu000096	Peptostreptococcaceae_Incertae_Sedis_Otu000626	1.0
Bacteroidaceae_Bacteroides_Otu000033	Veillonellaceae_unclassified_Otu000260	1.0
Lachnospiraceae_Incertae_Sedis_Otu000591	Desulfovibrionaceae_Desulfovibrio_Otu000088	1.0
Bacteroidaceae_Bacteroides_Otu000096	Ruminococcaceae_Faecalibacterium_Otu000219	1.0
Bacteroidaceae_Bacteroides_Otu000362	Bacteroidaceae_Bacteroides_Otu001598	1.0
Lachnospiraceae_Lachnospira_Otu000280	Ruminococcaceae_Subdoligranulum_Otu000429	1.0
Lachnospiraceae_Incertae_Sedis_Otu000629	Burkholderiaceae_Burkholderia_Otu000738	1.0
Ruminococcaceae_Subdoligranulum_Otu000231	Veillonellaceae_unclassified_Otu000260	1.0
Rikenellaceae_Alistipes_Otu002369	Streptococcaceae_Streptococcus_Otu001151	1.0
Coriobacteriaceae_Collinsella_Otu000317	Lachnospiraceae_unclassified_Otu000207	1.0
Lachnospiraceae_Incertae_Sedis_Otu000548	Shewanellaceae_Shewanella_Otu001055	1.0
Lachnospiraceae_Incertae_Sedis_Otu000492	Ruminococcaceae_unclassified_Otu000156	1.0
Lachnospiraceae_Blautia_Otu001036	Shewanellaceae_Shewanella_Otu001055	1.0
Lachnospiraceae_Blautia_Otu001036	Enterobacteriaceae_Cronobacter_Otu001258	1.0
Rikenellaceae_Alistipes_Otu001613	Erysipelotrichaceae_Incertae_Sedis_Otu000479	1.0
Lachnospiraceae_Lachnospira_Otu000280	Ruminococcaceae_Faecalibacterium_Otu000134	1.0
Peptostreptococcaceae_Incertae_Sedis_Otu001216	Ruminococcaceae_Subdoligranulum_Otu000231	1.0
Coriobacteriaceae_Eggerthella_Otu000570	Ruminococcaceae_Incertae_Sedis_Otu000935	1.0
Lachnospiraceae_Incertae_Sedis_Otu000492	Ruminococcaceae_Incertae_Sedis_Otu000236	1.0
